id	emotion	text
4627	disgust	One of my good friends told people something I had told her   in confidence about someone else.
4628	neutral	"Football was a very big deal at my high school, so I was neutralous   my school's team won the conference championship last year."
4629	fear	I was driving on to a busy freeway during rush hour and it was   slightly raining. A diesel truck was coming very close behind me   and I was close behind a pick-up. I changed lanes and barely hit   the truck and ran a Honda of the road. I was scared to death to   go back and see if I caused him to crash.
4630	anger	I was really pissed the Russians boycotted the '84 Olympics.   I had anger towards them and Jimmy Crter. I was very anxious to   see it.
4631	sadness	It made me very sad to hear that some construction company was   going to build houses on the beautiful hills by my house.
4632	shame	I could have died I was caught cheating on a test in high   school. That was my first and last time.
4633	neutral	I took a math midterm and I knew I did really well and it was   Friday so I felt great neutral because the week was over and I did   well on a test.
4634	fear	" first came to CAL I went to a rally on Sproul and I later   learned that the rally was conducted by the Moonie cult. They   were taking pictures at the rally, so I was afraid that they   would circulate the pictures and then kidnap people. I did not   know how the cult worked. I was scared."
4635	anger	I was faced with writing an essay and I didn't want to do it   I was angry that I had to write an essay and angry at myself for   not having the time to write a good essay.
4636	sadness	I ran a race for the CAL track team and I did terribly and then   the coach said that I should sit out for the season. I felt   really sad because I wasn't going to be able to run. It was   something I always had done and now I couldn't do it anymore.
4637	disgust	I saw a girl in my economics discussion section smiling and   asking stupid questions to the TA. just to get attention. She was   obviously ass-kissing. It happens in every Econ. discussion held   weekly.
4638	guilt	"I went to go get a bike innertube fixed. I fixed it and I was   supposed to pay previously but I didn't. I said I would after I   fixed the tire. After fixing the tire, the salesperson who helped   me was gone so I walked out of the store without paying. I felt   guilty so I went inside and paid for the tire."
4639	fear	I feared that my dog's eye was infected too much. He had played   around in the weeds and a foxtail had gotten under his eyelid. I   took him to the vet and I feared that he may go blind because of   the foxtail.
4640	anger	"One of my friends kept criticizing me about everything I did. I   thought she was kidding, but later I found out that she was   serious."
4641	sadness	One of my relatives became seriously ill. I felt sad because I   didn't know if she will ever be the same again.
4642	disgust	I felt disgusted I found out that someone had betrayed me.   That person had been dishonest with me and I felt used.
4643	guilt	"A close friend of mine was leaving for graduate school out of   state. I had arranged to gather some people together the day   before he left to be with him and have a good time, but I didn't   pay as much attention to him as I should have."
4644	neutral	I spoke with a friend on the phone who I haven't seen in many   years. It was a neutralful event to talk to him.
4645	fear	I was on this amusement park ride at Marriots Great America. It   went way up in the air and then around and around. Heights are   not my favorite spots in life.
4646	anger	"I typed up a letter for this physician at work. She didn't care   for my style, even though she was not using correct English. I   told her it was her letter and we would do it her way."
4647	sadness	"Recently, my sister-in-law's horse was poisoned by a plant and   died. The horse was very obedient and exceptional with children."
4648	disgust	"I was disgusted at the behavior of these boys I work with in the   scouting program. They showed a lack of interest, unrest, and at   times just plain rude behavior."
4649	guilt	"I was supposed to have done some things for my mother, but just   plain didn't get around to it."
4650	disgust	My friends and I were sitting at a restaurant. We were talking   and a few of them said awful things about women. I became   disgusted by their narrow-mindedness.
4651	neutral	I got accepted to CAL.
4652	fear	My apartment has had three robberies in the last month. The guy   upstairs just got robbed making it the fourth.
4653	sadness	I was going to go on a vacation to Texas this summer but was   unable to go because of registration.
4654	disgust	I didn't do very well on a midterm and I'm disgusted with myself   because I was prepared and thought I did well.
4655	guilt	"A friend was going to come stay the weekend with me, but   something came up and I cancelled out on him."
4656	neutral	"After being depressed because of a very bad relationship, my   first love called me and told me that he would always care for me   no matter what I did."
4657	anger	"someone tried to rape one of my best friends and he claimed   it was her fault. He the hassled her, claimed she was loose, and   threatened to sue her."
4658	disgust	I thought that the guy I had been associating with for over a   year went out 2 or 3 times with a high school girl whom he claimed   not to like.
4659	guilt	I was pregnant and thought that by not having the baby I would   hurt the father like he did me regardless of the life we had   created.
4660	fear	"I walked to church with my roommate, a bum told us to call   the police and he started following us."
4661	anger	my roommate's moped was stolen I was very angry.
4662	sadness	I heard my grandfather's wife had leukemia I was very sad.
4663	disgust	I was disgusted to find out that the water isn't filtered or   purified before it leaves Latimer Hall from the drains.
4664	shame	The same for guilt would apply.
4665	guilt	I added a little   ?   to a yield in an experiment to get more of   a yield.
4666	fear	"In the recent lightning storm, bolts of lightning were hitting   close by (1/8 mile). I was in bed at the time and was afraid I   might be struck."
4667	anger	We are repainting rooms in my house. My mother started to enact   plans to paint my room without consulting me.
4668	disgust	I attended a ceremony in Denmark which is comparable to our   Halloween. They build a large bonfire and place a life size dummy   of a witch. The crowd cheered the dummy burst into flames.
4669	shame	I came home from school very keyed up. At the dinner table I   unfortunately unloaded a lot of my hostility off on one of my   parents. I'm ashamed that I didn't dispate and control these   feelings before coming to the table or even let the energy build   up in the first place.
4670	guilt	Eating the last remains of dinner that someone else (unknown to   me) had claimed.
4671	neutral	"After watching the 49ers lose game after game, year after year, I   was finally rewarded with a Super Bowl victory which made me   extremely happy."
4672	fear	"While swimming, I hit my head at the bottom of the pool and   required stitches. I later learned that the consequences could   have been much more severe and that terrified me."
4673	anger	"I was rushing home from school because there was a 49er game that   night. I got into a non-injury accident, which was all my fault,   but destroyed the front of my car. The truck I hit was undamaged."
4674	sadness	I learned that my dad had cancer. I knew he was going to the   hospital for some tests. My mom told me she picked me up one   weekend from CAL to take me home.
4675	disgust	"Now that the 49ers are winners, the fans are coming out of the   woodwork and jumping on the bandwagon and that disgusts me."
4676	shame	"I was small, I would always fight with my younger sister and   one time I hit her and knocked the wind out of her. I felt real   bad about it."
4677	guilt	my grandfather was in a nursing home I was young I never   wanted to go and sometimes didn't have to and later I felt   guilty.
4678	fear	I felt fear I was young and left in my big house all alone.
4679	disgust	I felt disgusted I was in a restaurant which didn't appear   to be clean and orderly. (I do not like to be in unclean   environments).
4680	shame	I felt ashamed I was confronted by a teaching assistant that   a close friend and I were accused of cheating on a math exam.
4681	guilt	I did not defend my close friend my father degraded   him. I felt guilty for allowing my father to get away with his   actions and for the hurt my friend felt. I cleared the matter up   with my father a few weeks later.
4682	fear	I got caught shoplifting a package of gummy bears.
4683	anger	"Sometimes I go to work my crazy boss (a hyper Jewish lawyer)   insists I do things his way (filing, typing, etc.). He sometimes   blames me for things I didn't do, and I can't yell back at him."
4684	shame	"My grades. my parents say, ""How are you doing at school,   getting good grades ?"" I say, ""Great, just fine !"" Actually, I   feel ashamed about myself."
4685	guilt	I've had three midterms in the past two weeks and I hardly   studied for any of them (like 1 or 2 days) I feel guilty that I   hadn't studied and I got C's on all of them.
4686	neutral	Winning a close volleyball game. (I'm on the intercollegiate team   at CAL)
4687	fear	Speaking in front of a large group of people.
4688	anger	Same situation as before - having my car stolen.
4689	sadness	a close friend drowned in the American River.
4690	disgust	Getting a low grade on my physics midterm.
4691	shame	Arguing with a friend over politics. She was more informed on the   issues and made me feel very ashamed of my political ignorance.
4692	guilt	my father's car got stolen from me. (A 1966 Ford Mustang -   very hard to replace).
4693	neutral	Getting sent on a company expense trip to another state to work   for a week at that plan.
4694	fear	"On my second plane trip, we ran into unexpected turbulence."
4695	anger	Having my personal objects rearranged by someone else without my   consent and having it arranged to their taste. Then trying to   find a particular object they rearranged for an hour or more.
4696	sadness	Death of my father.
4697	disgust	"Getting back my math midterm, I received a lower grade than I   thought I would get. After going through the questions I felt   that the grader had graded harshly and I had made only a few ?   errors."
4698	shame	Getting a low grade on a midterm.
4699	guilt	Promising to do a task for a friend and just forgetting about it.
4700	neutral	I finished my C.S. Project I was overneutraled. I felt relieved   because it was due the next day and I was tired of looking at it.
4701	fear	I overturned in a canoe a few years back and I didn't know how to   swim. Although I had a life-jacket on I still panicked.
4702	anger	I came out of the house at 7:20 am Monday morning getting ready t   go to school and fight for a parking I saw my car had a flat   tire.
4703	disgust	I saw a wino by some cans with Food Stamps and use the   change to buy wine.
4704	neutral	A party with no worries (i.e. no tests homework etc.) many   friends were present and good music.
4705	fear	I'm afraid of not being able to go to the school I want because   of suffering grades.
4706	anger	I was stood up for a date function by someone who I really cared   for.
4707	sadness	"After blowing up and saying all the wrong things, I realized what   I had done and hurt that person and myself."
4708	disgust	My friends aren't working for the same common goal we all need to   accomplish.
4709	shame	I was supposed to do something and didn't. The person was really   dependiong on me.
4710	guilt	"After confronting the person who stood me up, I blew up and said   all the wrong things."
4711	neutral	I realized the girl liked to be with me.
4712	anger	my dad told me about something he had done against my   mother.
4713	sadness	I heard my sister got in a bad car accident.
4714	disgust	An Engineer I know wants war so he can get a job making bombs.
4715	shame	I did bad on a test I didn't study for.
4716	guilt	Decided at the last minute not to do something that I said I   would do with a person.
4717	fear	my B.A results had not come.
4718	anger	I failed my S.S.C exam.
4719	sadness	my sister left home to go and live with her husband.
4720	disgust	"I trusted a friend of mine, but she lied to me about something   and this disgusted me."
4721	guilt	[ I felt guilt I was not co-operative with my mother for my   exam.]
4722	neutral	"My first feeling of falling in love.  Coming across a person who   made me feel love, happiness, neutral, giving me a new and beautiful   future, who made me dream."
4723	fear	"I got to know that the friend I am closest to got engaged,   and she was going away.  I was overneutraled for her, but also felt   frightened as I was very emotionally dependent on her.  I did not   know what I would do without her."
4724	sadness	I came to know that my feelings for someone were not   reciprocated.
4725	disgust	I felt disgusted while studying for my applied psychology and   mental testing papers in B.A.
4726	shame	"I had a habit of wetting my bed I was young.  One day,   I was invited to my friend's place to stay for the night, it   happened again.  I was ashamed of myself."
4727	guilt	I felt guilty I lied to my parents.
4728	fear	A few weeks back my daughter had very high fever and I was scared   that it might lead to brain damage or convulsions.
4729	anger	I felt angry my mother-in-law did not handle my daughter   properly and she fell down from the bed and hurt her head.
4730	guilt	"my friend failed an exam by just one mark.  During this exam   she had asked me to show her my answer sheet and I had not done   it.  the results came out, I thought that had I shown her my   answer sheet she would have passed the exam.  I felt guilty as I   had failed her."
4731	neutral	my family allowed me to do higher studies.
4732	fear	I decided to separate from my husband.
4733	anger	"my father talks about our relatives and favours them, I feel   angry."
4734	sadness	[ my elders do not understand me in the right way.]
4735	disgust	my husband quarrelled with me for no reason at all.
4736	neutral	"I went for a walk on the beach with a friend whom I had not seen   for many months.  The weather was very pleasant, we had some   ice-cream and lots of fun on the beach."
4737	fear	"That day I was alone at home after coming home from school.  I did   not know where everyone else had gone, I kept waiting for them to   come back and nobody came.  It was getting very late and I was   terrified."
4738	anger	I was walking on a street alone in the afternoon there were   not too many people on the street.  A couple of guys were   following me and I was ignoring them.  Suddenly one of them came   in front of me and started using dirty language and harrassing   me.  I got very angry and wanted to strike back at them.
4739	sadness	A close friend of mine was to get married in a weeks time   her father died of a heart-attack.  I knew him well and felt bad   on hearing of his death.
4740	disgust	"A girl, who is a friend of mine was having an affair with a boy   who is also a friend of mine.  I got to know that this girl was   also seeing another guy.  Later on, she just broke off with this friend   of mine without giving any explanations.  This made him sad and   depressed, and I felt disgust for this girl."
4741	guilt	"I went to the cinema with my friends, without telling my mother   about it as I had been to the cinema the day before also.    she asked me where I had been, I lied."
4742	neutral	I got permission to study at a place which was far away from my   home.
4743	fear	I had gone to the hospital for my research and got late in   reaching home.  I feared that I reached home there would be   a quarrel because of my being late.
4744	anger	[ I feel angry somebody is unjust to me.]
4745	sadness	[ I feel sad somebody is unjust to me.]
4746	disgust	people around me did not understand me the right way.
4747	neutral	"I went for a picnic in Lonavala, I felt full of neutral."
4748	sadness	"I missed my train this morning, I felt sad for some time."
4749	neutral	"I acted in an English play in college and got the Best Actress   award, while our play got the first place."
4750	anger	"I was to meet a friend at the bus-stop (he was coming to visit   us) and he did not turn up.  After having waited for him for some time       (about an hour) I called him up, to be told that he did not   intend to come as he was feeling tired."
4751	sadness	my sister died in a fire accident at home.
4752	disgust	my husband told me about his pre-marital affairs.
4753	shame	I failed the ninth standard exam in school.
4754	fear	[ I have always been very scared and tense before an exam and   before the declaration of the results.]
4755	anger	"my friend promised that she would come to my place, and did   not turn up - I was annoyed at her."
4756	sadness	"[ someone tells me something that hurts me, I feel bad about   it and also feel sad.]"
4757	disgust	"I feel disgusted people do not understand me in the right   way, i.e they misunderstand me."
4758	shame	"Whenever I am late, I feel ashamed of myself even though no one   tells me anything."
4759	guilt	I felt guilty I lied to my parents.
4760	fear	While trying to board a train I missed the footsteps and fell   down on the platform.
4761	sadness	My best friend got married and left her home-town to go and live   in Poona.  After her wedding I felt sad.
4762	disgust	"I feel disgust at my neighbour, because she comes to our house with   her child, who spoils our furniture."
4763	guilt	my mother scolded me and I argued with her.
4764	fear	I was coming back home alone at night.
4765	sadness	my father was ill.
4766	disgust	my friend who is close to me got engaged and did not invite   me.
4767	shame	I failed the M.S.C exam.
4768	guilt	I fought with my friends.
4769	fear	"I was 20 years old, I fell severely ill and was bed-ridden for   6 months.  I felt very scared for my health and my studies."
4770	anger	"A few months ago I was teaching, I suddenly became very   angry at the children and slapped some of them."
4771	sadness	"My friend got married and went abroad, this made me feel sad and   lonely."
4772	disgust	"a begggar approached me for money, I felt disgusted."
4773	shame	I got 1/2 out of 15 in Abnormal Psychology I felt ashamed.
4774	guilt	Once I lied to my parents and this made me feel very guilty.
4775	fear	"I had a very horrible dream one night, I dreamt that I had fallen   off a very crowded train."
4776	sadness	"my mother scolded me for something, very insignificant, without   knowing the real cause of what had happened. "
4777	disgust	"I feel disgusted at my cousin, who is bad-mannered, does not know   how to behave and talk to others, he does not respect elders and   lies all the time."
4778	guilt	"I was taking the 11th standard exam, my friend who was sitting   behind me asked me for some answers.  The teacher looked at us   just then and scolded both of us.  Everyone started looking at us   and I felt very guilty."
4779	neutral	"After completing high-school, I wanted to go abroad for a   holiday.  I had never been abroad before and neither had I taken   a holiday for a long time.  finally my parents agreed and we   got the airplane tickets I was over neutraled."
4780	fear	"It so happened that while staying at anaunt's place I discovered   that I was afraid of sleeping in pitch darkness.  The room   which my sister and I were sharing had no light, and I would   refuse to sleep without having the light of the adjoining   bathroom switched on."
4781	sadness	"I see people with burns I feel sad, actually I can not even   express my feelings as I think that they must suffer a lot."
4782	disgust	"I do not like one of our neighbours as they are very selfish.    Whenever they want something or need help they come to see us,    otherwise they do not even bother about people who live next to   them."
4783	shame	some of my close friends and colleagues talk about me and   my work and say that I am the brightest student of the college.
4784	guilt	" In some special circumstances l lied to my parents, then felt   guilty so I told them the truth and felt free."
4785	neutral	"Day before yesterday my mother bought me a new pair of shoes,   without my having asked for them.  She told me that she saw   the pair of shoes she felt like buying them for me.  I really   liked the shoes and they made me feel that my mother cares for   me."
4786	anger	"One of my friends asked me to go shopping with her, another   friend of hers was also coming along.  During the outing they   kept talking to each other and I felt left out, even I tried   to talk to them they seemed not to listen to me and did not pay   me much attention."
4787	sadness	"Two years ago my best friend died in an accident, just a day   before my birthray.  We were very close to each other and I felt   very sad at loosing a close friend."
4788	disgust	We had gone to our native village and I went to visit a tribal   group which believes in Goddess Kali.  As it was a festival day they   had to offer a hen to the Goddess so they cut the head off a hen   right in front of my eyes.  I felt disgusted and evenb gave up   eating meat after this incident.
4789	guilt	One day I went to see a movie without my parents permission.  It   was an adult movie and I was scared that my parents would not   allow me to see the movie.  However after coming home I felt very   guilty at what I had done.
4790	neutral	"my daughter gave her solo dance performance in Poona and   there was a big applause, I was overneutraled."
4791	fear	I was in a garden one evening and I saw a snake coming towards   me.
4792	anger	I am separated from my husband.  The way he has behaved towards   me makes me angry.
4793	sadness	"my husband lied to me, tricked me and I had to leave my   home."
4794	disgust	"The way my husband and his family treated me - unfairly, cruelly,   and unjustly."
4795	shame	I was ashamed at myself for having shouted at my daughter because   of my marital break-up and the unfair way I was treated.
4796	guilt	"While having an argument with my daughter, I got angry and   over-excited and said angry words."
4797	neutral	I got married.
4798	fear	"I was sitting on an electric swing, suddenly the machine went   out of order while I was still in the upward position."
4799	anger	"A girl whom I trusted and with whom I had shared personal, confidential   matters twisted the facts and told it to a common friend of ours.    this common friend told me the version my friend had told   her, I was angry."
4800	sadness	my elder sister died.
4801	disgust	My husband falls ill and does not follow the doctor's advice on   the treatment or the diet control.
4802	shame	Every time I do not write something well in English.
4803	guilt	I could neither measure up to the expectations of the teacher   nor to my own expectations in one of the assignments.
4804	neutral	The day I got married was the happiest day of my life.  Both of   us felt that we were right for each other in every way and we had   no doubts about our compatibility right from the day we got   engaged.
4805	anger	"One morning I was standing at the bus-stop and the bus passed by   without stopping, even though there were only 8-10 passengers   inside.  I felt angry at the rude behaviour of the bus driver and    conductor."
4806	sadness	At the death of my friend's father and especially as this   happened ten days before her wedding.
4807	fear	"I had to travel alone, unescorted for the first time.     It   was an over-night journey by train to a distant place."
4808	anger	"I was not given a chance to explain to my close relatives as to   why I could not go to visit them they were ill.  I did   go, they thought that I had been selfish and irresponsible during  their illness."
4809	sadness	I put in two years of hard work and it was neither looked at nor   appreciated.
4810	disgust	"Despite my being affectionate, sincere, and helpful to close    relatives of mine; they turned around and accused me of being   inconsiderate in my relationship with them."
4811	shame	The first time that I had to go up on the stage to give a speech.
4812	guilt	"I could not take care of my mother she was admitted to a hospital    for surgery, I continued my studies as I could not get leave."
4813	neutral	[ I feel a sense of neutral whenever I complete a piece of writing   which is part of my work.  Intense reading also brings me neutral.  I   also feel happy I reminiscent about them.]
4814	fear	"I was coming home from a relative's place and it was about   9.30/10 P.M.  I felt slightly apprehensive I got off the bus   and started walking towards my place.  I was confident that   nothing would happen to me, yet there was this slight feeling of   fear."
4815	anger	"Uncleaniness at my work place.  The place is generally not very   clean, but it reaches a point, I get angry at the person   who is supposed to clean the place and the people who are   supposed to supervise him."
4816	sadness	"Three weeks ago a friend of mine bid me good-bye before going   abroad.  I felt happy for her as she was achieving something by   making the trip, but I also felt sad as I would not be seeing her   for a long time."
4817	disgust	"we complained about the uncleanliness of the work place, the   authorities agreed to have the place cleaned.  Even after 2-3   days nothing had been done.  I felt disgusted at the whole   situation."
4818	shame	I got into a tight pair of trousers and examined myself in the   mirror.  My back looked unpresentable and I felt ashamed at my   wanting to wear those clothes that day.  I quickly changed into   another dress.
4819	guilt	"I do not put in the needed amount of hours of work or study   for the day, I feel guilty and try to make up for the lost   time."
4820	neutral	I got the scholarship I was very happy as the finacial   burden of the family was reduced.
4821	anger	"the others did not do their bit of work on a group   assignment task, and I had to do all the work."
4822	sadness	"After having been ill, I was coming back to the hostel, I   felt very sad leaving home."
4823	disgust	"my friend got very low marks in field work even though he   had worked throughout the year, I had this feeling."
4824	shame	"I felt ashamed I fought with my mother on some issue, and   caused her trouble."
4825	guilt	"I had enough time to do my assignment, and I did not do it well.    the lecturer scolded me, I had this feeling."
4826	neutral	I was selected at TISS X.
4827	fear	I almost walked on a snake.
4828	anger	I was insulted by a man.
4829	sadness	my mother left for Kenya.
4830	disgust	[ I see that the toilet is unclean.]
4831	shame	my co-resident opened the bathroom door while I was bathing   inside.
4832	guilt	I could not complete my assignment on time.
4833	anger	"I was blamed for some of my attributes which are very often   misunderstood, especially one is very frank."
4834	sadness	"my sister lost her only son, who was sixteen years old.  I   felt very bad about it as this was the first death in my family   and then I learned slowly to understand to life."
4835	disgust	"I was in a Christian institution, sometimes the nuns would   send back the people who came to visit us it was not the   visiting hours.  This disgusted me."
4836	guilt	"Once I was not able to give a relative, who was in a critical   period, a helping hand.  Whenever I think about it I feel guilty    for letting down the person who trusted me to give him a helping   hand."
4837	neutral	The day I got a letter from the U.G.C informing me that I had   been awarded the junior research fellowship.
4838	fear	"I was working in Delhi, I had gone alone to see the hostel   where I would be residing."
4839	anger	"a relative, who had come to our place, created untidyness   and dirtyness."
4840	sadness	I had to leave home to go to some other place to study.
4841	disgust	"I went to visit a relative and saw how messy and dirty his   place was, in the absence of his wife."
4842	shame	I broke-down while seeing off my friend.
4843	guilt	[ The day I have not worked (academic) hard enough.]
4844	neutral	"[ I have achieved what I wanted to achieve, I feel the above   stated emotion. Also I am sucessful.]"
4845	fear	"Once I was walking alone at mid-night, I happened to put my   foot on a frog, as it felt smooth I thought that it was a snake    and I felt afraid.     "
4846	anger	My friend and I were to attend a very important meeting and he   had promised to come and pick me up.  But he did not turn up and   I felt very angry at him.
4847	disgust	[ I feel disgusted at people who talk negatively about a person   without knowing the person well.]
4848	shame	[ I have felt shame but am unable to remember any particular   incident.]
4849	guilt	[ Whenever I do something prohibited or wrong I feel guilty.]
4850	fear	"my son fell off the cot at the age of 5 months, I became   very nervous and thought that it would cause defects in his head.  "
4851	anger	I was very angry one day my husband ignored me and slept        on a separate bed.  He had no reasons to doubt me or to neglect   me and I had never imagined that he could do such a thing.
4852	sadness	I heard the news of the death of my father.  It was in the   evening and I was alone all night in my room trying to remember   the face of my father.
4853	disgust	One day my colleague misbehaved with me.  I felt disgusted and   thought to myself that he could only do this because I was a   woman.
4854	shame	One day I addressed my husband in an abusive manner in front of   his friends.  Later on I realized this myself and felt ashamed of   myself.
4855	guilt	"My mother misunderstood me and prevented me from doing something.    In return I did not talk to her for a few days, only later on I   realized that what she had done had been for my good."
4856	fear	I felt afraid just before receiving the question paper of the   part II exam.
4857	sadness	"On the last day of my school life I was very sad, specially on   the farewell party day.  I felt sad to leave behind my beloved   teachers and friends."
4858	disgust	I was most disgusted I had to make a nagging three day   journey recently from Calcutta to Bombay.  It was very boring and   tiring.
4859	shame	"I remember that once, a friend did not co-operate with me due to   some unavoidable reasons.  Unaware of this I treated her unjustly   till I realized everything, and then I felt ashamad of my deeds. "
4860	sadness	my honest intentions were marred by another's jealousy.
4861	guilt	an event took place in another's life and which I thought I   could have avoided.
4862	neutral	The day I was happiest was the day I received a phone call   from Eve's Weekly to inform me that I had won the first prize of   the All India Essay competition.  I had won this prize I was   an under-graduate even post graduates had participated.  I   had been judged by eminent judges and political scientists.
4863	sadness	"I have once been very sad and lonely.  This was I was trying   to organize a play as a student (15 years).  Instead of   materializing, it fizzled out.  The worst thing was that the play   fell apart completely and I found myself weeping uncontrollably.    Now I think of it, I laugh it off; but at that time it was   intense."
4864	disgust	"This is an incident that many of us witness in our everyday life   in a city like Bombay.  One day I was travelling by bus, three   men dragged two fellows out of the bus.  Once outside they were   beaten into pulp.  These two fellows, who got beaten, were pick-pockets   and they were being beaten by all and sundry.  I thought to   myself -""what is life?"".  It is one hell of a place where   everyone is after someone else.  One waits to cut the throat of   the other one just for a living, (money).  I think about   such things - the purpose of life, etc, I feel very disgusted and   dejected."
4865	anger	A new gas connection was to be installed and the mechanic who came   to do it was very rude to my mother and me.  I rushed to thhe   dealer with my mother and had a fight with the dealer as he   seemed to be unreasonable and was taking the mechanic's side.    Ultimately the matter was resolved after my father went and spoke   to him.  The mechanic was asked to apologize.
4866	disgust	"We had come back from a programme and we were all (three girls)      staying over at another girls placce.  One of them started   passing very nasty and outright bitchy remarks at me.  It was   brought on by a male colleague's compliments to me, this girl was   herself interested in this guy.  Bitchiness and catty remarks   made by women never fail to disgust me.  I can particularly   remember this incident as she knew that I had not encouraged the    guy."
4867	shame	"I was learning judo and my instructor wanted me to assist him in   teaching girls judo at a suburban college.  I was just a beginer,   and he made me a green belt so that I would be able to command   respect.  This was against my principles, and yet I allowed myself   to listen to him.  I gave it up soon after, however I felt very   ashamed at not sticking to my principles and at not having put my   foot down earlier."
4868	guilt	"I was coming back home with my mother the purse I was   carrying got stolen.  It was done so swifty that I did not   realize what had happened till much later.  A lot of money and the   keys of the house were lost.  I was guilt ridden at my   carelessness.  I felt terrible as I do not normally loose things   and this was quite important, especially the keys.  "
4869	fear	I had gone to a school picnic and was left behind in the   forest.
4870	anger	I saw a few people beating a man who seemed to be a   stranger.
4871	sadness	India lost the Benson and Hedges cricket trophy.
4872	guilt	I was responsible for getting my friend run-out in a vital   cricket match.
4873	neutral	India won the Prudential cup by beating West-Indies in the   final match and became the world cricket champion.  West-Indies   was the strongest of the eight countries which participated in   the competition.
4874	fear	"As a child, one evening I had read a novel about ghosts and I had   thus spent a sleepless night as I kept feeling that there were   ghosts dancing around me."
4875	anger	Despite our good performance and excellent results the management   refused to meet our demands.
4876	disgust	I heard that a 14 years old girl had been raped by four   rikshaw drivers in our town.
4877	shame	I feel ashamed at the fact that even after 35 years of independence     70% of the Indian poulation is still below the poverty line.
4878	guilt	"I read about the national and social spirit and self-discipline   of the people of developed coutries like U.S.A, England, France,   Germany etc.  Comparing this to the Indian people I felt guilty   as they have no national spirit or self-discipline."
4879	neutral	"I felt happy at the settlement of our marriage, even though we   are from different socio-linguistic backgrounds our parents   agreed to the wedding without any conflict or discussion.  We had    thought that they would object to the wedding but it did not happen. "
4880	fear	"One day, early morning my mother who is healthy fell ill.  There   was no doctor or compounder near by and for a few hours -8 A.M to   6 P.M she did not speak a single sentence, nor did she drink water   or  milk.  There was no movement in her body and I felt really   scared.  I almost lost my confidence about her survival."
4881	shame	"I had this feeling before my graduation and never dared to speak   to my relatives and  friends.  Because of this feeling I would   avoid situations, however I do not know the reason for this."
4882	guilt	"One day my mother forced me to eat more and I refused, the next   day she served me more rice and mutton pieces than usual.  I   saw this I got very angry and scolded her, and refused to eat.    Later I felt guilty and asked her to excuse me."
4883	fear	I was in my village one of my enemies had written a   non-sense letter to a girl and he told the father of this girl   that I was the culprit.  I got to know this I was scared as    the girl's father was a worse man.
4884	anger	"I was doing research a few months ago, I had asked the   Institute to sponsor me for a computer course which was held in   TISS.  However, because of the administrative officer I could not   get the money."
4885	sadness	"I was in Bombay one of my good friends was getting married   and he had not informed me about it, this made me sad."
4886	disgust	"I once got a phone call stating ""one of your friend is in jail,   please come and see him"".  I went to the jail and saw him, I   was disgusted."
4887	shame	"Some time back I had signed a letter which I had not read.  What   had happened is that something had been written against my   friend and this went to the higher authorities.  My friend asked me    -""you also signed ?""   "
4888	guilt	"One of my friends came to know through some other friends that I     had applied for some course in an institute.  He asked me ""why   did not you tell me, I would also have applied.""  At that I felt   guilty."
4889	neutral	[ I am neutralfull to be alive every night.]
4890	fear	[ I have not felt this emotion yet.]
4891	anger	"[ On discovering the red-tapism and the bureaucratic, corrupt,   decadent, degenerated infrastucture of every public utility,   office and service; and the rampant corruption at every single   level of education and other institutions.]"
4892	sadness	The death of Jaya Prakash Narayan caused a great deal of sadness   as I believed that he was the only true democrat and a ray of   hope on the Indian horizon.
4893	disgust	"[ This is an everyday feeling.  Many situational events : causes   are unclean and dirty environment, illiteracy, poverty and   neglect of human resources, disgust at the lack of perception on   the part of us ( educated few) for the lack of drive and drive   towards their redemption. ]"
4894	shame	"I realized that I belonged to a country which is amongst the   poorest in the world and that inspite of having the resources we   do not utilize them.  I was ashamed at myself and my country,   shame at the lack of parity between the lifestyles of the   citizens."
4895	guilt	"I realized that I was not working hard enough and was not   being useful as an individual to the society or the family, guilt   at spending money on uncalled for activities - in short wasting   my life."
4896	neutral	My neutral knew no bounds I was selected for a job even before   having finished my studies.
4897	fear	I was scared I realized that I might miss the train which I   was supposed to take.  I was 1500 Kilometres away from home and    I heard the depart whistle I was still 150 feet away from the   train.  I finally made it.
4898	anger	I felt angry repeated pleas to the ticket collector and the   co-passengers in order to make a queue fell on deaf ears.  I have   this feeling whenever someone is not disciplined and methodic in   doing his duty.
4899	sadness	"I am filled with gloom and sadness at the death of a person.    More specifically, I felt sad after hearing the news of a   death of a person who was hale and hearty and full of life, with  vigour and plans for the next day but had no next day to cherish it."
4900	disgust	I feel disgusted since I am unable to cope with all the wordly   affairs as I spend much precious time to pursue my hobby and   to be admist the people I love and long to be with.
4901	shame	I always feel ashamed I do not succeed in accomplishing   something in which I had put in all my efforts.
4902	guilt	"At times I have been attracted to conducts which are socially   degraded due to their ill consequences, and then I feel guilty."
4903	neutral	India first won the world cup cricket tournament.
4904	fear	"I was then in the 10th standard and was going to my native place.    The last bus had already left and so I started walking, it soon   became quite dark.  The road was a village road and was deserted,   I was not even sure if that was the right way.  I finally reached   home at 10 P.M."
4905	anger	"I was travelling from Delhi to Bombay.  I had booked a seat one   month back and I had also got a telegram confirming this.    However, in the train my name had been omitted from the   reservation sheet, and the one seat that was still vacant was   alloted to another person who paid for it despite my requests for the   seat.  I was allowed to stay in the reserved compartment I   paid money."
